 () , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type
,"BP6JW21","KD","Kyndryl Holdings Inc",3928721,$77238654.86,0.14709,"IT Services","US","Common Stock"
,"2672537","PTEN","Patterson-UTI Energy Inc",7126708,$77110980.56,0.14684,"Energy Equipment & Services","US","Common Stock"
,"2933632","VNO","Vornado Realty Trust",2928438,$76227241.14,0.14516,"Office REITs","US","REIT"
,"2191300","AEL","American Equity Investment Life Holding Co",1355249,$76043021.39,0.14481,"Insurance","US","Common Stock"
,"BGH1M56","PRGO","Perrigo Co PLC",2313679,$75564756.14,0.1439,"Pharmaceuticals","US","Common Stock"
,"BPLL4V5","KNF","Knife River Corp",966305,$75555387.95,0.14388,"Construction Materials","US","Common Stock"
,"2485070","KBH","KB Home",1166048,$75513268.48,0.1438,"Household Durables","US","Common Stock"
,"2066505","AVT","Avnet Inc",1543244,$75418334.28,0.14362,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2473138","RYN","Rayonier Inc",2532363,$75109886.58,0.14303,"Specialized REITs","US","REIT"
,"2905794","UBSI","United Bankshares Inc/WV",2305129,$74824487.34,0.14249,"Banks","US","Common Stock"
,"B125XQ6","POR","Portland General Electric Co",1727634,$74685617.82,0.14222,"Electric Utilities","US","Common Stock"
,"BQPCHB2","PR","Permian Resources Corp",4456197,$74641299.75,0.14214,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2928683","VFC","VF Corp",5975721,$74457483.66,0.14179,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"2362128","GATX","GATX Corp",606391,$74198002.76,0.1413,"Trading Companies & Distributors","US","Common Stock"
,"2822019","AAP","Advance Auto Parts Inc",1016172,$74160232.56,0.14122,"Specialty Retail","US","Common Stock"
,"BMF5Q83","FCFS","FirstCash Holdings Inc",654781,$73977157.38,0.14087,"Consumer Finance","US","Common Stock"
,"2855855","ABG","Asbury Automotive Group Inc",351451,$73889058.24,0.14071,"Specialty Retail","US","Common Stock"
,"2339252","WTM","White Mountains Insurance Group Ltd",41543,$73869270.02,0.14067,"Insurance","US","Common Stock"
,"BFY8W20","ASGN","ASGN Inc",765762,$73857744.9,0.14065,"IT Services","US","Common Stock"
,"BN7K304","ASO","Academy Sports & Outdoors Inc",1266346,$73827971.8,0.14059,"Specialty Retail","US","Common Stock"
,"2048592","AEO","American Eagle Outfitters Inc",3035350,$73637591,0.14023,"Specialty Retail","US","Common Stock"
,"2411053","HOG","Harley-Davidson Inc",2140762,$73620805.18,0.1402,"Automobiles","US","Common Stock"
,"BMV1ZD3","ZWS","Zurn Elkay Water Solutions Corp",2349921,$73505528.88,0.13998,"Building Products","US","Common Stock"
,"BYND5N1","ASH","Ashland Inc",769974,$73401621.42,0.13978,"Chemicals","US","Common Stock"
,"B17MTL9","HOMB","Home BancShares Inc/AR",3097307,$73344229.76,0.13967,"Banks","US","Common Stock"
,"2630513","NJR","New Jersey Resources Corp",1678580,$73337160.2,0.13966,"Gas Utilities","US","Common Stock"
,"2926825","VMI","Valmont Industries Inc",356796,$73071820.8,0.13915,"Construction & Engineering","US","Common Stock"
,"2744243","FLO","Flowers Foods Inc",2876304,$71735021.76,0.1366,"Food Products","US","Common Stock"
,"2020415","THG","Hanover Insurance Group Inc/The",550501,$71466039.82,0.13609,"Insurance","US","Common Stock"
,"2273446","WIRE","Encore Wire Corp",255741,$71443805.76,0.13605,"Electrical Equipment","US","Common Stock"
,"B00V7H8","AGO","Assured Guaranty Ltd",928888,$71245709.6,0.13567,"Insurance","US","Common Stock"
,"BNG8Z81","COHR","Coherent Corp",1298703,$70948144.89,0.13511,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2860826","SRCL","Stericycle Inc",1580232,$70683777.36,0.1346,"Commercial Services & Supplies","US","Common Stock"
,"BYPZJQ6","JHG","Janus Henderson Group PLC",2262932,$70648737.04,0.13454,"Capital Markets","US","Common Stock"
,"BJ1N1M9","CPRI","Capri Holdings Ltd",1990714,$70630532.72,0.1345,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"B3CTNK6","SIG","Signet Jewelers Ltd",718848,$70468669.44,0.13419,"Specialty Retail","US","Common Stock"
,"BRT46K3","LAZ","Lazard Inc",1829155,$70422467.5,0.13411,"Capital Markets","US","Common Stock"
,"2567655","MSM","MSC Industrial Direct Co Inc",770424,$70293485.76,0.13386,"Trading Companies & Distributors","US","Common Stock"
,"BP4CXL8","CCCS","CCC Intelligent Solutions Holdings Inc",6203144,$69599275.68,0.13254,"Software","US","Common Stock"
,"2354664","FUL","HB Fuller Co",925526,$69146047.46,0.13167,"Chemicals","US","Common Stock"
,"B0650B9","HUN","Huntsman Corp",2891574,$68992955.64,0.13138,"Chemicals","US","Common Stock"
,"2370585","GBCI","Glacier Bancorp Inc",1897214,$68641202.52,0.13071,"Banks","US","Common Stock"
,"2266026","FFIN","First Financial Bankshares Inc",2314623,$68420255.88,0.13029,"Banks","US","Common Stock"
,"2242929","AMKR","Amkor Technology Inc",2102912,$68029203.2,0.12955,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"BZ0CTP8","CC","Chemours Co/The",2534170,$67789047.5,0.12909,"Chemicals","US","Common Stock"
,"2495529","KRC","Kilroy Realty Corp",2001268,$67642858.4,0.12881,"Office REITs","US","REIT"
,"2176608","COLB","Columbia Banking System Inc",3568307,$67119854.67,0.12782,"Banks","US","Common Stock"
,"BMHWY55","AVNT","Avient Corp",1559870,$66169685.4,0.12601,"Chemicals","US","Common Stock"
,"2121352","GPI","Group 1 Automotive Inc",222373,$65382109.46,0.12451,"Specialty Retail","US","Common Stock"
,"2101741","BKH","Black Hills Corp",1166530,$64042497,0.12196,"Multi-Utilities","US","Common Stock"
,"2691305","BCO","Brink's Co/The",732138,$64032789.48,0.12194,"Commercial Services & Supplies","US","Common Stock"
,"BJN4N02","PSN","Parsons Corp",814743,$63965472.93,0.12181,"Professional Services","US","Common Stock"
,"2809324","SLGN","Silgan Holdings Inc",1366447,$63758417.02,0.12141,"Containers & Packaging","US","Common Stock"
,"2590930","MIDD","Middleby Corp/The",458522,$63720802.34,0.12134,"Machinery","US","Common Stock"
,"BD06LM7","ITGR","Integer Holdings Corp",570222,$63653881.86,0.12122,"Health Care Equipment & Supplies","US","Common Stock"
,"2415497","HWC","Hancock Whitney Corp",1399897,$63541324.83,0.121,"Banks","US","Common Stock"
,"B1HMMS7","SPR","Spirit AeroSystems Holdings Inc",1985543,$63537376,0.12099,"Aerospace & Defense","US","Common Stock"
,"BGPZ5W8","ACA","Arcosa Inc",834119,$63409726.38,0.12075,"Construction & Engineering","US","Common Stock"
,"BYY9FS3","GMS","GMS Inc",681068,$63012411.36,0.11999,"Trading Companies & Distributors","US","Common Stock"
,"BD6JX35","KRYS","Krystal Biotech Inc",409251,$62664513.12,0.11933,"Biotechnology","US","Common Stock"
,"BMBK002","CRC","California Resources Corp",1185102,$62644491.72,0.11929,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"B020GQ5","ENS","EnerSys",691367,$62534145.15,0.11908,"Electrical Equipment","US","Common Stock"
,"BJ0KXV4","OGS","ONE Gas Inc",967157,$62400969.64,0.11883,"Gas Utilities","US","Common Stock"
,"2562490","MAN","ManpowerGroup Inc",825169,$62259001.05,0.11856,"Professional Services","US","Common Stock"
,"B247H10","TDC","Teradata Corp",1672543,$62051345.3,0.11816,"Software","US","Common Stock"
,"BK6YKG1","GL","Globe Life Inc",804735,$61296664.95,0.11673,"Insurance","US","Common Stock"
,"B8GNC91","MATX","Matson Inc",567665,$61182933.7,0.11651,"Marine Transportation","US","Common Stock"
,"BF2X272","HCC","Warrior Met Coal Inc",893746,$61087539.1,0.11633,"Metals & Mining","US","Common Stock"
,"2884224","TEX","Terex Corp",1088918,$61033853.9,0.11623,"Machinery","US","Common Stock"
,"BYXD7B3","DXC","DXC Technology Co",3127419,$60953396.31,0.11607,"IT Services","US","Common Stock"
,"B0650P3","PBH","Prestige Consumer Healthcare Inc",849190,$60937874.4,0.11604,"Pharmaceuticals","US","Common Stock"
,"2664103","OTTR","Otter Tail Corp",713418,$60897360.48,0.11597,"Electric Utilities","US","Common Stock"
,"2839268","SYNA","Synaptics Inc",672066,$60459057.36,0.11513,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"B1Q76J2","ESGR","Enstar Group Ltd",207978,$60390571.86,0.115,"Insurance","US","Common Stock"
,"B3NXMJ9","WEN","Wendy's Co/The",2986034,$59690819.66,0.11367,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BJTJGC4","KTB","Kontoor Brands Inc",960638,$59617194.28,0.11353,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"BJP0MF6","CUZ","Cousins Properties Inc",2595678,$59544853.32,0.11339,"Office REITs","US","REIT"
,"BNG7BZ7","ALIT","Alight Inc",6554020,$59117260.4,0.11258,"Professional Services","US","Common Stock"
,"BNDYF48","IAC","IAC Inc",1232350,$58610566,0.11161,"Interactive Media & Services","US","Common Stock"
,"BD59BS7","MDGL","Madrigal Pharmaceuticals Inc",287091,$58572305.82,0.11154,"Biotechnology","US","Common Stock"
,"B02R1L6","ALE","ALLETE Inc",984752,$58317013.44,0.11105,"Electric Utilities","US","Common Stock"
,"2378200","GT","Goodyear Tire & Rubber Co/The",4856378,$58082280.88,0.11061,"Automobile Components","US","Common Stock"
,"BF3FTF4","CNX","CNX Resources Corp",2466499,$58012056.48,0.11047,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"BL98841","RIVN","Rivian Automotive Inc",6498522,$57836845.8,0.11014,"Automobiles","US","Common Stock"
,"BK63SF3","NVST","Envista Holdings Corp",2934135,$57743776.8,0.10996,"Health Care Equipment & Supplies","US","Common Stock"
,"B52KRV2","KMPR","Kemper Corp",990057,$57730223.67,0.10994,"Insurance","US","Common Stock"
,"B2QGDP1","HI","Hillenbrand Inc",1199704,$57249874.88,0.10902,"Machinery","US","Common Stock"
,"B92CQF3","TPH","Tri Pointe Homes Inc",1550233,$57126086.05,0.10879,"Household Durables","US","Common Stock"
,"B01WL78","BDC","Belden Inc",702635,$57103146.45,0.10874,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2227089","PIPR","Piper Sandler Cos",289138,$56610329.02,0.1078,"Capital Markets","US","Common Stock"
,"2918510","UMBF","UMB Financial Corp",708569,$56444606.54,0.10749,"Banks","US","Common Stock"
,"BYXJF62","Z","Zillow Group Inc",1324678,$56391542.46,0.10739,"Real Estate Management & Development","US","Common Stock"
,"BD9G2S1","GTES","Gates Industrial Corp PLC",3163404,$55739178.48,0.10614,"Machinery","US","Common Stock"
,"BRXYZ57","FTRE","Fortrea Holdings Inc",1518552,$55563817.68,0.10581,"Life Sciences Tools & Services","US","Common Stock"
,"BYNQ369","ACI","Albertsons Cos Inc",2709354,$55270821.6,0.10525,"Consumer Staples Distribution & Retail","US","Common Stock"
,"BMP8TL6","CTRE","CareTrust REIT Inc",2231492,$55162482.24,0.10505,"Health Care REITs","US","REIT"
,"BPGKM57","SLG","SL Green Realty Corp",1106782,$55150947.06,0.10502,"Office REITs","US","REIT"
,"B5NLBP6","SBRA","Sabra Health Care REIT Inc",3953691,$55035378.72,0.1048,"Health Care REITs","US","REIT"
,"BYVMVV0","PK","Park Hotels & Resorts Inc",3411384,$55025623.92,0.10479,"Hotel & Resort REITs","US","REIT"
,"B92RRW2","SANM","Sanmina Corp",905977,$54965624.59,0.10467,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BXRTX56","APLE","Apple Hospitality REIT Inc",3717410,$54868971.6,0.10449,"Hotel & Resort REITs","US","REIT"
,"2386849","KFY","Korn Ferry",898427,$54552487.44,0.10388,"Professional Services","US","Common Stock"
,"BNKBB55","TPG","TPG Inc",1265027,$54522663.7,0.10383,"Capital Markets","US","Common Stock"
,"B0XXJN1","PCH","PotlatchDeltic Corp",1359593,$54397315.93,0.10359,"Specialized REITs","US","REIT"
,"2707826","PNM","PNM Resources Inc",1467743,$54394555.58,0.10358,"Electric Utilities","US","Common Stock"
,"2951292","NPO","Enpro Inc",357486,$53669373.18,0.1022,"Machinery","US","Common Stock"
,"BPLYVJ1","LSXMA","Liberty Media Corp-Liberty SiriusXM",2224374,$53518438.44,0.10192,"Media","US","Tracking Stk"
,"BYXJQG9","SR","Spire Inc",864548,$53420420.92,0.10173,"Gas Utilities","US","Common Stock"
,"2635701","NWL","Newell Brands Inc",6727218,$53414110.92,0.10172,"Household Durables","US","Common Stock"
,"2038849","ABCB","Ameris Bancorp",1121502,$53248914.96,0.1014,"Banks","US","Common Stock"
,"2243911","IBOC","International Bancshares Corp",954869,$53138459.85,0.10119,"Banks","US","Common Stock"
,"2923741","SXT","Sensient Technologies Corp",723851,$53000370.22,0.10093,"Chemicals","US","Common Stock"
,"B03PGL4","NWE","Northwestern Energy Group Inc",1047338,$52827728.72,0.1006,"Multi-Utilities","US","Common Stock"
,"BNKVVY4","CNXC","Concentrix Corp",963678,$52684276.26,0.10033,"Professional Services","US","Common Stock"
,"2943523","PAG","Penske Automotive Group Inc",343614,$52542016.74,0.10006,"Specialty Retail","US","Common Stock"
,"B45K9N8","VAC","Marriott Vacations Worldwide Corp",546622,$52535840.42,0.10004,"Hotels, Restaurants & Leisure","US","Common Stock"
,"B8XXZP1","EPR","EPR Properties",1287994,$52279676.46,0.09956,"Specialized REITs","US","REIT"
,"BF429K9","BHF","Brighthouse Financial Inc",1074924,$51865083,0.09877,"Insurance","US","Common Stock"
,"2935326","VLY","Valley National Bancorp",7379670,$51731486.7,0.09851,"Banks","US","Common Stock"
,"2055718","ASB","Associated Banc-Corp",2453706,$51699585.42,0.09845,"Banks","US","Common Stock"
,"BYRGSX7","AROC","Archrock Inc",2690538,$51631424.22,0.09832,"Energy Equipment & Services","US","Common Stock"
,"2245597","IOSP","Innospec Inc",425159,$51019080,0.09716,"Chemicals","US","Common Stock"
,"2543967","MAC","Macerich Co/The",3693547,$50823206.72,0.09678,"Retail REITs","US","REIT"
,"BF0DMK7","IOVA","Iovance Biotherapeutics Inc",4292021,$50560007.38,0.09628,"Biotechnology","US","Common Stock"
,"2356585","FULT","Fulton Financial Corp",3053633,$50537626.15,0.09624,"Banks","US","Common Stock"
,"BQ7W2W6","CXT","Crane NXT Co",827407,$50314619.67,0.09581,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BMXYT16","TNL","Travel + Leisure Co",1153709,$50232489.86,0.09566,"Hotels, Restaurants & Leisure","US","Common Stock"
,"2874582","SKT","Tanger Inc",1766637,$50084158.95,0.09538,"Retail REITs","US","REIT"
,"2296926","FBP","First BanCorp/Puerto Rico",2893894,$49919671.5,0.09506,"Banks","US","Common Stock"
,"B4TZV44","WD","Walker & Dunlop Inc",544391,$49882547.33,0.09499,"Financial Services","US","Common Stock"
,"2781518","SMG","Scotts Miracle-Gro Co/The",726885,$49820697.9,0.09487,"Chemicals","US","Common Stock"
,"B4MF0Q6","SEM","Select Medical Holdings Corp",1755311,$49798173.07,0.09483,"Health Care Providers & Services","US","Common Stock"
,"BRJTVC5","BGC","BGC Group Inc",6334890,$49602188.7,0.09446,"Capital Markets","US","Common Stock"
,"2930149","VSH","Vishay Intertechnology Inc",2143074,$49590732.36,0.09444,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"B0LLFT5","GME","GameStop Corp",4438532,$49223319.88,0.09374,"Specialty Retail","US","Common Stock"
,"2024332","AMED","Amedisys Inc",530641,$48845504.05,0.09302,"Health Care Providers & Services","US","Common Stock"
,"2862156","UCBI","United Community Banks Inc/GA",1932547,$48758160.81,0.09285,"Banks","US","Common Stock"
,"BFZ9DB8","AUB","Atlantic Union Bankshares Corp",1533717,$48726189.09,0.09279,"Banks","US","Common Stock"
,"2463344","GFF","Griffon Corp",740209,$48498493.68,0.09236,"Building Products","US","Common Stock"
,"2554163","MGEE","MGE Energy Inc",618127,$48411706.64,0.09219,"Electric Utilities","US","Common Stock"
,"2942605","AVA","Avista Corp",1335885,$48065142.3,0.09153,"Multi-Utilities","US","Common Stock"
,"B9HHD96","HASI","Hannon Armstrong Sustainable Infrastructure Capital Inc",1921775,$48063592.75,0.09153,"Mortgage Real Estate Investment Trusts (REITs)","US","Common Stock"
,"2418601","HL","Hecla Mining Co",10154414,$48030378.22,0.09146,"Metals & Mining","US","Common Stock"
,"2764188","SM","SM Energy Co",989271,$47969750.79,0.09135,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2675097","PNFP","Pinnacle Financial Partners Inc",623666,$47835182.2,0.09109,"Banks","US","Common Stock"
,"2155306","MTZ","MasTec Inc",538851,$47790695.19,0.09101,"Construction & Engineering","US","Common Stock"
,"2814210","SKYW","SkyWest Inc",653162,$47700420.86,0.09084,"Passenger Airlines","US","Common Stock"
,"2692160","PLXS","Plexus Corp",471812,$47657730.12,0.09075,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2145460","AZTA","Azenta Inc",905456,$47500221.76,0.09045,"Life Sciences Tools & Services","US","Common Stock"
,"BLB8B95","ARCH","Arch Resources Inc",298162,$47342162.36,0.09015,"Metals & Mining","US","Common Stock"
,"2420640","HIW","Highwoods Properties Inc",1806007,$47317383.4,0.09011,"Office REITs","US","REIT"
,"B0JL5L9","MPW","Medical Properties Trust Inc",10240312,$47105435.2,0.0897,"Health Care REITs","US","REIT"
,"2024901","ABM","ABM Industries Inc",1074445,$46953246.5,0.08941,"Commercial Services & Supplies","US","Common Stock"
,"2657750","CNO","CNO Financial Group Inc",1775551,$46750257.83,0.08903,"Insurance","US","Common Stock"
,"BN93088","BNL","Broadstone Net Lease Inc",3208135,$46710445.6,0.08895,"Diversified REITs","US","REIT"
,"2977209","TCBI","Texas Capital Bancshares Inc",810278,$46509957.2,0.08857,"Banks","US","Common Stock"
,"BJLTMX5","ENOV","Enovis Corp",840253,$46407173.19,0.08837,"Health Care Equipment & Supplies","US","Common Stock"
,"BPLZ7S5","BHVN","Biohaven Ltd",1192626,$46273888.8,0.08812,"Biotechnology","US","Common Stock"
,"2966876","RUSHA","Rush Enterprises Inc",1052143,$46210120.56,0.088,"Trading Companies & Distributors","US","Common Stock"
,"2756152","CDP","COPT Defense Properties",1923174,$46098480.78,0.08779,"Office REITs","US","REIT"
,"BFD1TJ6","REZI","Resideo Technologies Inc",2359293,$46076992.29,0.08774,"Building Products","US","Common Stock"
,"2246288","FHI","Federated Hermes Inc",1400641,$46011056.85,0.08762,"Capital Markets","US","Common Stock"
,"BDC6HG1","FHB","First Hawaiian Inc",2181016,$45997627.44,0.08759,"Banks","US","Common Stock"
,"BZ0P3Z5","TGNA","TEGNA Inc",3367544,$45933300.16,0.08747,"Media","US","Common Stock"
,"B8FW545","APAM","Artisan Partners Asset Management Inc",1120405,$45858176.65,0.08733,"Capital Markets","US","Common Stock"
,"BYY9947","RRR","Red Rock Resorts Inc",860357,$45702163.84,0.08703,"Hotels, Restaurants & Leisure","US","Common Stock"
,"2496113","KSS","Kohl's Corp",1891846,$45290793.24,0.08625,"Broadline Retail","US","Common Stock"
,"B011WL6","GNW","Genworth Financial Inc",7636051,$45281782.43,0.08623,"Insurance","US","Common Stock"
,"2267171","AWR","American States Water Co",631775,$44754941,0.08523,"Water Utilities","US","Common Stock"
,"2321583","ESE","ESCO Technologies Inc",440811,$44720275.95,0.08516,"Machinery","US","Common Stock"
,"2551551","MGRC","McGrath RentCorp",418672,$44655555.52,0.08504,"Trading Companies & Distributors","US","Common Stock"
,"2626125","NHI","National Health Investors Inc",704646,$44434976.76,0.08462,"Health Care REITs","US","REIT"
,"BLF9ZT2","DNB","Dun & Bradstreet Holdings Inc",4874525,$44358177.5,0.08447,"Professional Services","US","Common Stock"
,"BGK38H3","AX","Axos Financial Inc",875050,$44286280.5,0.08433,"Banks","US","Common Stock"
,"BDVPZV0","BTU","Peabody Energy Corp",2017048,$44254033.12,0.08427,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2940375","WSFS","WSFS Financial Corp",1034452,$44202133.96,0.08417,"Banks","US","Common Stock"
,"B6T0518","POST","Post Holdings Inc",414794,$44030383.1,0.08385,"Food Products","US","Common Stock"
,"BPLYVL3","LSXMK","Liberty Media Corp-Liberty SiriusXM",1823895,$43882913.7,0.08357,"Media","US","Tracking Stk"
,"BGL0KF5","SITC","SITE Centers Corp",3219354,$43429085.46,0.0827,"Retail REITs","US","REIT"
,"2933438","URBN","Urban Outfitters Inc",1109659,$43232314.64,0.08233,"Specialty Retail","US","Common Stock"
,"BNRR1B2","ATMU","Atmus Filtration Technologies Inc",1423704,$43123994.16,0.08212,"Machinery","US","Common Stock"
,"BGGJFV8","STRA","Strategic Education Inc",375257,$43094513.88,0.08206,"Diversified Consumer Services","US","Common Stock"
,"2682105","PENN","Penn Entertainment Inc",2604432,$43077305.28,0.08203,"Hotels, Restaurants & Leisure","US","Common Stock"
,"2117726","BRC","Brady Corp",727117,$42899903,0.08169,"Commercial Services & Supplies","US","Common Stock"
,"BDZDRC5","PINC","Premier Inc",2047590,$42753679.2,0.08142,"Health Care Providers & Services","US","Common Stock"
,"BLTFST7","ARCB","ArcBest Corp",384347,$42627925.77,0.08118,"Ground Transportation","US","Common Stock"
,"BFWCP81","ADT","ADT Inc",6550721,$42579686.5,0.08108,"Diversified Consumer Services","US","Common Stock"
,"2012757","AIN","Albany International Corp",533244,$42526209,0.08098,"Machinery","US","Common Stock"
,"B7KY3Z6","EVTC","EVERTEC Inc",1124166,$42189949.98,0.08034,"Financial Services","US","Common Stock"
,"2381189","GVA","Granite Construction Inc",750712,$41664516,0.07934,"Construction & Engineering","US","Common Stock"
,"BP5JNQ3","VSTS","Vestis Corp",2245833,$41368243.86,0.07878,"Commercial Services & Supplies","US","Common Stock"
,"2466428","UNF","UniFirst Corp/MA",258140,$41335958.2,0.07872,"Commercial Services & Supplies","US","Common Stock"
,"B94QHZ0","BXMT","Blackstone Mortgage Trust Inc",2340844,$41292488.16,0.07863,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"BMVBZD3","NUVL","Nuvalent Inc",598388,$41216965.44,0.07849,"Biotechnology","US","Common Stock"
,"2980939","CRI","Carter's Inc",597781,$40894198.21,0.07787,"Textiles, Apparel & Luxury Goods","US","Common Stock"
,"BGM1B98","GHC","Graham Holdings Co",58107,$40754506.59,0.07761,"Diversified Consumer Services","US","Common Stock"
,"2407632","HUBG","Hub Group Inc",1012297,$40714585.34,0.07753,"Air Freight & Logistics","US","Common Stock"
,"2264235","CATY","Cathay General Bancorp",1179411,$40618914.84,0.07735,"Banks","US","Common Stock"
,"2149622","MTRN","Materion Corp",352740,$40543935.6,0.07721,"Metals & Mining","US","Common Stock"
,"2193544","EAT","Brinker International Inc",755289,$40483490.4,0.07709,"Hotels, Restaurants & Leisure","US","Common Stock"
,"B01ZP20","WLK","Westlake Corp",273803,$40347610.08,0.07683,"Chemicals","US","Common Stock"
,"B1GC200","PRIM","Primoris Services Corp",865685,$40340921,0.07682,"Construction & Engineering","US","Common Stock"
,"2595612","MTX","Minerals Technologies Inc",552793,$40293081.77,0.07673,"Chemicals","US","Common Stock"
,"B4RGHN0","FIBK","First Interstate BancSystem Inc",1508830,$40285761,0.07672,"Banks","US","Common Stock"
,"BDRYFB1","SPB","Spectrum Brands Holdings Inc",491231,$40217081.97,0.07659,"Household Products","US","Common Stock"
,"2139151","LXP","LXP Industrial Trust",4775922,$39878948.7,0.07594,"Industrial REITs","US","REIT"
,"2001119","AIR","AAR Corp",575895,$39817380.3,0.07582,"Aerospace & Defense","US","Common Stock"
,"BK1KWF7","GO","Grocery Outlet Holding Corp",1526243,$39636530.71,0.07548,"Consumer Staples Distribution & Retail","US","Common Stock"
,"BDZCRX3","RNG","RingCentral Inc",1337183,$39607360.46,0.07542,"Software","US","Common Stock"
,"2222062","CBU","Community Bank System Inc",910853,$39367066.66,0.07497,"Banks","US","Common Stock"
,"BKLKXD2","OI","O-I Glass Inc",2625227,$39273395.92,0.07479,"Containers & Packaging","US","Common Stock"
,"2510682","LEG","Leggett & Platt Inc",2163207,$39089150.49,0.07444,"Household Durables","US","Common Stock"
,"2074070","BOH","Bank of Hawaii Corp",678948,$38489562.12,0.0733,"Banks","US","Common Stock"
,"2451918","ICUI","ICU Medical Inc",391701,$38355361.92,0.07304,"Health Care Equipment & Supplies","US","Common Stock"
,"B847RJ0","BLMN","Bloomin' Brands Inc",1483124,$38249767.96,0.07284,"Hotels, Restaurants & Leisure","US","Common Stock"
,"BSP6611","OUT","Outfront Media Inc",2407884,$38189040.24,0.07272,"Specialized REITs","US","REIT"
,"BN6QSL9","RXO","RXO Inc",1999883,$37817787.53,0.07202,"Ground Transportation","US","Common Stock"
,"2419530","HELE","Helen of Troy Ltd",405660,$37608738.6,0.07162,"Household Durables","US","Common Stock"
,"B75DGJ3","ZD","Ziff Davis Inc",746098,$37386970.78,0.0712,"Interactive Media & Services","US","Common Stock"
,"2705198","PRGS","Progress Software Corp",749428,$37336502.96,0.0711,"Software","US","Common Stock"
,"B1G3M58","DEI","Douglas Emmett Inc",2714385,$37214218.35,0.07087,"Office REITs","US","REIT"
,"B00N2S0","ABR","Arbor Realty Trust Inc",2896949,$37167855.67,0.07078,"Mortgage Real Estate Investment Trusts (REITs)","US","REIT"
,"2948852","WERN","Werner Enterprises Inc",1083573,$37058196.6,0.07057,"Ground Transportation","US","Common Stock"
,"2160645","CVBF","CVB Financial Corp",2260458,$36935883.72,0.07034,"Banks","US","Common Stock"
,"BGYTGH3","PFSI","PennyMac Financial Services Inc",430640,$36880009.6,0.07023,"Financial Services","US","Common Stock"
,"2904627","TRN","Trinity Industries Inc",1397843,$36371874.86,0.06926,"Machinery","US","Common Stock"
,"2111579","OSIS","OSI Systems Inc",276534,$36347628.96,0.06922,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2672689","PDCO","Patterson Cos Inc",1424253,$36275723.91,0.06908,"Health Care Providers & Services","US","Common Stock"
,"BMF0P92","AUR","Aurora Innovation Inc",12969812,$35991228.3,0.06854,"Software","US","Common Stock"
,"B034LG1","SHO","Sunstone Hotel Investors Inc",3507911,$35780692.2,0.06814,"Hotel & Resort REITs","US","REIT"
,"2447821","INDB","Independent Bank Corp",711306,$35736013.44,0.06805,"Banks","US","Common Stock"
,"2458878","BLKB","Blackbaud Inc",456573,$35576168.16,0.06775,"Software","US","Common Stock"
,"BYZFPN5","ENR","Energizer Holdings Inc",1225461,$35195239.92,0.06702,"Household Products","US","Common Stock"
,"2767217","PPBI","Pacific Premier Bancorp Inc",1636593,$35186749.5,0.06701,"Banks","US","Common Stock"
,"BYMYT66","LAUR","Laureate Education Inc",2421228,$35107806,0.06686,"Diversified Consumer Services","US","Common Stock"
,"2840174","SXI","Standex International Corp",202632,$35031020.16,0.06671,"Machinery","US","Common Stock"
,"2810133","SFNC","Simmons First National Corp",2030654,$34703876.86,0.06609,"Banks","US","Common Stock"
,"2109091","BOKF","BOK Financial Corp",388850,$34502660.5,0.0657,"Banks","US","Common Stock"
,"BMG3PQ7","MIR","Mirion Technologies Inc",3166175,$34416322.25,0.06554,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2177504","CRS","Carpenter Technology Corp",400789,$34347617.3,0.06541,"Metals & Mining","US","Common Stock"
,"BJT16S6","TROX","Tronox Holdings PLC",2007737,$34111451.63,0.06496,"Chemicals","US","Common Stock"
,"BN48ZR2","PECO","Phillips Edison & Co Inc",1043142,$34110743.4,0.06496,"Retail REITs","US","REIT"
,"2352806","FFBC","First Financial Bancorp",1541918,$34091806.98,0.06492,"Banks","US","Common Stock"
,"B3NNTZ4","BKU","BankUnited Inc",1269409,$33931302.57,0.06462,"Banks","US","Common Stock"
